mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01859416961669922,0.005326500530815101,0.011691522598266602,0.004951752164494335,12,0.3,"{'clf__C': 12, 'clf__gamma': 0.3}",0.5263157894736842,0.5789473684210527,0.6842105263157895,0.5789473684210527,0.4444444444444444,0.5625730994152047,0.07823153921960536,1
0.028719377517700196,0.013903943422930326,0.019770240783691405,0.004841960590676308,5,0.3,"{'clf__C': 5, 'clf__gamma': 0.3}",0.5263157894736842,0.47368421052631576,0.7368421052631579,0.5263157894736842,0.5,0.5526315789473684,0.0941502306315701,2
0.038598823547363284,0.00681929763250277,0.014477825164794922,0.0038694112973462957,8,0.3,"{'clf__C': 8, 'clf__gamma': 0.3}",0.5789473684210527,0.5263157894736842,0.6842105263157895,0.5263157894736842,0.4444444444444444,0.5520467836257309,0.07885851616859685,3
0.021721458435058592,0.0022414007617329156,0.008008050918579101,0.0015332443822129167,12,scale,"{'clf__C': 12, 'clf__gamma': 'scale'}",0.42105263157894735,0.47368421052631576,0.7368421052631579,0.5789473684210527,0.5,0.5421052631578946,0.10989796325169,4
0.008312273025512695,0.002238319670370481,0.010518312454223633,0.008608817092812627,5,scale,"{'clf__C': 5, 'clf__gamma': 'scale'}",0.47368421052631576,0.47368421052631576,0.7368421052631579,0.47368421052631576,0.5,0.531578947368421,0.1031364102224496,5
0.027727127075195312,0.009399090025600644,0.00954127311706543,0.004221680986083605,30,scale,"{'clf__C': 30, 'clf__gamma': 'scale'}",0.47368421052631576,0.47368421052631576,0.631578947368421,0.5789473684210527,0.5,0.531578947368421,0.06315789473684211,5
0.03745145797729492,0.00797836132510721,0.008358430862426759,0.0021974396378021867,8,0.1,"{'clf__C': 8, 'clf__gamma': 0.1}",0.5263157894736842,0.47368421052631576,0.7368421052631579,0.47368421052631576,0.4444444444444444,0.5309941520467836,0.10625909617528775,7
0.02295794486999512,0.008672972365515093,0.0104644775390625,0.0029217871462201713,30,0.3,"{'clf__C': 30, 'clf__gamma': 0.3}",0.5263157894736842,0.5263157894736842,0.631578947368421,0.5263157894736842,0.4444444444444444,0.5309941520467836,0.05945387147199454,7
0.02857069969177246,0.0071161922273400985,0.016133213043212892,0.004498708150450233,12,0.1,"{'clf__C': 12, 'clf__gamma': 0.1}",0.5263157894736842,0.47368421052631576,0.7368421052631579,0.47368421052631576,0.3888888888888889,0.5198830409356725,0.11708180693895366,9
0.022489500045776368,0.00488224185322947,0.005444717407226562,0.003091717579005854,30,0.1,"{'clf__C': 30, 'clf__gamma': 0.1}",0.47368421052631576,0.47368421052631576,0.7368421052631579,0.5263157894736842,0.3888888888888889,0.5198830409356725,0.11708180693895366,9
0.024849319458007814,0.012917628673811224,0.0212155818939209,0.009193479735877514,5,0.1,"{'clf__C': 5, 'clf__gamma': 0.1}",0.5263157894736842,0.42105263157894735,0.7368421052631579,0.3684210526315789,0.4444444444444444,0.49941520467836253,0.1291643292844774,11
0.03410129547119141,0.009156304724048192,0.02112569808959961,0.003887593070495959,8,scale,"{'clf__C': 8, 'clf__gamma': 'scale'}",0.42105263157894735,0.47368421052631576,0.7368421052631579,0.5263157894736842,0.3333333333333333,0.49824561403508766,0.13525849310453603,12
