model,accuracy,precision,recall,f1,roc_auc,cv_mean_accuracy,best_params
"HGB | ['X1', 'X5', 'X2']",0.8125,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8432539682539683,0.5426900584795321,"{'l2_regularization': 0.0, 'learning_rate': 0.03}"
"HGB | ['X1', 'X5']",0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8373015873015872,0.5748538011695906,"{'l2_regularization': 0.0, 'learning_rate': 0.03}"
"SVC_RBF | ['X1', 'X5']",0.75,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.8511904761904762,0.5643274853801169,"{'clf__C': 12, 'clf__gamma': 'scale'}"
"SVC_RBF | ['X1', 'X5', 'X2']",0.75,0.75,0.8333333333333334,0.7894736842105263,0.8392857142857143,0.6701754385964912,"{'clf__C': 30, 'clf__gamma': 0.3}"
LogReg(cw=None),0.71875,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7817460317460317,,
"HGB | ['X1', 'X5', 'X2', 'X3']",0.71875,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8214285714285715,0.5333333333333333,"{'l2_regularization': 0.0, 'learning_rate': 0.1}"
LogReg(cw=balanced),0.71875,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7738095238095238,,
"SVC_RBF | ['X1', 'X5', 'X2', 'X3', 'X6']",0.71875,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8214285714285714,0.5631578947368421,"{'clf__C': 5, 'clf__gamma': 'scale'}"
"HGB | ['X1', 'X5', 'X2', 'X3', 'X6', 'X4']",0.6875,0.6818181818181818,0.8333333333333334,0.75,0.7936507936507937,0.4807017543859649,"{'l2_regularization': 0.0, 'learning_rate': 0.1}"
"HGB | ['X1', 'X5', 'X2', 'X3', 'X6']",0.6875,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7619047619047619,0.4678362573099415,"{'l2_regularization': 0.0, 'learning_rate': 0.1}"
RandomForest,0.65625,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.7261904761904762,,
"SVC_RBF | ['X1', 'X5', 'X2', 'X3', 'X6', 'X4']",0.5,0.5625,0.5,0.5294117647058824,0.4365079365079365,0.5625730994152047,"{'clf__C': 12, 'clf__gamma': 0.3}"
"SVC_RBF | ['X1', 'X5', 'X2', 'X3']",0.46875,0.5294117647058824,0.5,0.5142857142857142,0.5535714285714286,0.5736842105263158,"{'clf__C': 30, 'clf__gamma': 'scale'}"
